Helmholtz Coil Current (A)	RF max (MHz)	RF min (MHz)
0.810	2.6698	2.6646
0.830	2.7556	2.7510
0.855	2.8222	2.8183
0.861	2.8406	2.8356
0.866	2.8556	2.8500
0.871	2.8705	2.8655
0.876	2.8859	2.8827
0.881	2.9041	2.8982
0.860	2.9178	2.9062
0.891	2.9348	2.9285
0.896	2.9474	2.9392
0.901	2.9628	2.9573
0.906	2.9807	2.9731
0.911	2.9994	2.9923
0.916	2.9161	3.0048
0.921	3.0269	3.0218
0.926	3.0450	3.0358
0.931	3.0595	3.0531
0.936	3.0749	3.0673
0.942	3.0914	3.0842
0.946	3.1036	3.0900
0.951	3.1197	3.1106
0.956	3.1350	3.1274
0.961	3.1481	3.1406
0.966	3.1656	3.1570
0.971	3.1792	3.1720
0.976	3.1925	3.1855
0.981	3.2080	3.2015
